kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
complete,2,了,",complete,child with arms wrapped up,",リョウ,,Wrap the 'child' up and be sure to tuck his arms in to COMPLETE a long day of child-rearing.
woman,3,女,",woman,",ジョ　　ニョ　　ニョウr,おんな　　め,This is a pictograph of a WOMAN sitting cross-legged on the ground.
fond,6,好,",fond,woman,child,",コウ,この・む　　す・く,Just think of a 'woman' tenderly FONDLING her 'child'.
likeness,6,如,",likeness,woman,mouth,",ジョ　　ニョ,,"To Sigmund Freud, a 'woman's' 'mouth' bears a disturbing LIKENESS to the passage through which one enters the world."
mama,5,母,",mama,mother,breasts,",ボ,はは,"The kanji for a 'woman' has been spread out, with two 'drops' added to indicate the nursing breasts of a MAMA. Note that as a primitive, the drops are often joined by a vertical line, and can indicate *breasts."
pierce,11,貫,",pierce,mama,mother,breasts,oyster,shellfish,clam,oyster,eye,animal legs,eight,",カン,つらぬ・く,Imagine PIERCING your ear so you can wear a traditional 'mama' of 'pearl' earring.
elder brother,5,兄,",elder brother,teenager,mouth,human legs,",ケイ　　キョウr,あに,"One's ELDER BROTHER can appear to the younger like one big blabber-'mouth' on top of a pair of lanky 'human legs'. As a primitive, it could depict any *teenager."
curse,8,呪,",curse,mouth,elder brother,teenager,mouth,human legs,mouth2,",ジュ,のろ・う,One's teenaged 'elder brother' emits nothing but CURSES from his 'mouth'.
overcome,7,克,",overcome,ten,needle,elder brother,teenager,mouth,human legs,",コク,,"Too many 'teenagers' fall under the shadow of the 'needle' - but with the right support, most will OVERCOME their addiction."
little,3,小,",little,small,",ショウ,ちい・さい　　こ　　お,"This kanji depicts little, little, nothing but LITTLE."
few,4,少,",few,little,small,drop,",ショウ,すこ・し　　すく・ない,"The 'eyedropper' suggests belittling of what is already 'little', yielding but a FEW of something."
large,3,大,",large,St. Bernard,",ダイ　　タイ,おお　　おお・きい　　おお・いに,"A pictograph of a person taking up a whole character - so they must be very LARGE. As a primitive, it represents *St. Bernard's dog, or any large breed."
many,6,多,",many,evening,evening2,",タ,おお・い,"MANY 'moons' ago, begins many a traditional folktale: and here are two of them, lacking a stroke each because they are obscured by the clouds of time."
evening,3,夕,",evening,",セキ,ゆう,"Just as EVENING is a little more formal than night, so is the kanji for it a more elegant and coy 'moon', partially obscured by cloud."
eventide,6,汐,",eventide,water,water droplets,water pistol,evening,",セキ,しお,The EVENTIDE is those 'drops of water' that creep up the shore in the 'evening'.
outside,5,外,",outside,evening,magic wand,augury,",ガイ　　ゲ,そと　　ほか　　はず・す　　はず・れる,Going OUTSIDE in the 'evening' to use your 'magic wand' is the best way to enhance one's sorcery.
name,6,名,",name,evening,mouth,",メイ　　ミョウ,な,"In parts of Africa, a child's NAME comes to them through a father's 'evening' 'mouth' whispering in their ear before the next day's formal announcement."
stone,5,石,",stone,cliff,mouth,",セキ　　シャク　　コクr,いし,"This depicts a 'mouth' under a 'cliff' - a secret cave like Christ's tomb, sealed with a great STONE."
resemblance,7,肖,",resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",ショウ,,"Where we talk of a chip off the old block when discussing a child's RESEMBLANCE to their parents, the Japanese speak of a 'little' bit of 'flesh'. As a primitive, it represents a *spark or a *candle."
nitrate,12,硝,",nitrate,stone,rock,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,",ショウ,,Imagine pouring NITRATE over a 'rock' - can you see the 'sparks' fly?
smash,9,砕,"In the made-up game of SMASH -ball, a 'rock' is hurled at a 'baseball' bat defending a 'needle' (i.e. cricket - for cavemen).",サイ,くだ・く　　くだ・ける,"In the made-up game of SMASH-ball, a 'baseball' bat is used to hit a 'rock' at a 'needle' laid across sticks. It's cricket for cavemen."
sand,9,砂,",sand,stone,rock,few,",サ　　シャ,すな,Good SAND for beaches has 'few' 'stones' in it.
jealous,8,妬,",jealous,woman,stone,rock,",ト,ねた・む,This kanji depicts a 'woman' who is JEALOUS of the enormous 'rock' flaunted on another's ring finger.
plane,9,削,",plane,resemblance,spark,candle,small,little,moon,month,flesh,part of the body,sword,sabre,saber,",サク,けず・る,"A very skilled craftsman can PLANE a material with a 'saber', sending 'sparks' flying."
ray,6,光,",ray,small,little,human legs,",コウ,ひか・る　　ひかり,"When you think of a RAY of light, think of it as a pair of 'little' 'human legs' dancing from fleck to fleck in a glowing column of dust."
plump,4,太,",plump,large,St. Bernard,drop,",タイ　　タ,ふと・い　　ふと・る,A PLUMP fruit is like a 'large' 'drop'.
