kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
swamp,7,沢,",swamp,water,water droplets,water pistol,shaku-hachi,flag,stick,",タク,さわ,
translate,11,訳,",translate,say,words,keitai,mouth,shaku-hachi,flag,stick,",ヤク,わけ,
choose,7,択,",choose,finger,fingers,shaku-hachi,flag,stick,",タク,,
daytime,9,昼,",daytime,shaku-hachi,flag,stick,nightbreak,sun,day,one,floor,",チュウ,ひる,
door,4,戸,",door,one,flag,",コ,と,
shoulder,8,肩,",shoulder,door,one,ceiling,flag,moon,month,flesh,part of the body,",ケン,かた,
tassel,8,房,",tassel,door,one,ceiling,flag,compass,direction,",ボウ,ふさ,
fan,10,扇,",fan,door,one,ceiling,flag,feathers,wings,",セン,おうぎ,
hearth,8,炉,",hearth-fire,door,one,ceiling,flag,",ロ,,
re-,7,戻,",re-,door,one,ceiling,flag,large,St. Bernard,",レイ,もど・す　　もど・る,
tears,10,涙,",tears,water,water droplets,water pistol,re-,door,one,ceiling,flag,large,St. Bernard,",ルイ,なみだ,
employ,12,雇,",employ,door,one,ceiling,flag,turkey,",コ,やと・う,
look back,21,顧,",look back,employ,door,one,ceiling,flag,turkey,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",コ,かえり・みる,
disclose,11,啓,",disclose,bouncer,door,one,ceiling,flag,taskmaster,mouth,",ケイ,,
show,5,示,",show,altar,show,two,small,",ジ　　シ,しめ・す,
salutation,5,礼,",salute,salutation,altar,fishhook,",レイ　　ライ,,
auspicious,10,祥,",auspicious,altar,sheep,",ショウ,,
celebrate,9,祝,",celebrate,altar,elder brother,teenager,mouth,human legs,",シュク　　シュウr,いわ・う,
blessing,13,福,",blessing,altar,wealth,one,ceiling,mouth,rice field,brains,",フク,,
welfare,8,祉,",welfare,altar,stop,footprint,",シ,,
company,7,社,",company,altar,soil,dirt,ground,",シャ,やしろ,
inspection,11,視,",inspection,altar,see,telescope,eye,human legs,",シ,,
Nara,8,奈,",nara,large,St. Bernard,altar,show,two,small,",ナ,,
military officer,11,尉,",military officer,flag,altar,show,two,small,glue,",イ,,
consolation,15,慰,",consolation,military officer,flag,altar,show,two,small,glue,heart,",イ,なぐさ・む　　なぐさ・める,
goodwill,12,款,",goodwill,samurai,altar,show,two,small,lack,yawn,",カン,,
prohibition,13,禁,",prohibition,grove,tree,wood,altar,show,two,small,tree2,wood2,",キン,,
collar,18,襟,",collar,cloak,prohibition,grove,tree,wood,altar,show,two,small,tree2,wood2,",キン,えり,
religion,8,宗,",religion,house,altar,show,two,small,",シュウ　　ソウ,,
adore,11,崇,",adore,mountain,religion,house,altar,show,two,small,",スウ,,
ritual,11,祭,",ritual,moon,month,flesh,part of the body,crotch,altar,show,two,small,",サイ,まつ・り　　まつ・る,
guess,14,察,",guess,house,ritual,moon,month,flesh,part of the body,crotch,altar,show,two,small,",サツ,,
grate,17,擦,",grate,finger,fingers,guess,house,ritual,moon,month,flesh,part of the body,crotch,altar,show,two,small,",サツ,す・る　　す・れる,
wherefore,5,由,",wherefore,sprout,shoot,",ユ　　ユウ　 ユイr,よし,
pluck,8,抽,",pluck,finger,fingers,sprout,shoot,",チュウ,,
oil,8,油,",oil,water,water droplets,water pistol,sprout,shoot,",ユ,あぶら,
sleeve,10,袖,",sleeve,cloak,sprout,shoot,",シュウ,そで,
mid-air,8,宙,",mid-air,house,sprout,shoot,",チュウ,,
deliver,8,届,",deliver,flag,sprout,shoot,",,とど・く　　とど・ける,
flute,11,笛,",flute,bamboo,sprout,shoot,",テキ,ふえ,
axis,12,軸,",axis,car,sprout,shoot,",ジク,,
armor,5,甲,",armour,armor,roots,",コウ　　カン,,
push,8,押,",push,finger,fingers,armour,armor,roots,",オウ,お・す　　お・さえる,
headland,8,岬,",headland,mountain,armour,armor,roots,",,みさき,
insert,10,挿,",insert,finger,fingers,thousand,armour,armor,roots,",ソウ,さ・す,
speaketh,5,申,",speaketh,monkey,sun,day,stick,",シン,もう・す,
expand,7,伸,",expand,person,monkey,sun,day,stick,",シン,の・ばす　　の・びる　　の・べる ,
gods,9,神,",gods,altar,monkey,sun,day,stick,",シン　　ジン,かみ　　かん　　こうr,
search,10,捜,",search,finger,fingers,Buddha’s hand,monkey,sun,day,stick,crotch,",ソウ,さが・す,
fruit,8,果,",fruit,rice field,brains,tree,wood,",カ,は・たす　　は・て　　は・てる,
confectionary,nodata,菓,nodata,カ,,
chapter,15,課,",chapter,say,words,keitai,mouth,fruit,rice field,brains,tree,wood,",カ,,
naked,13,裸,",naked,cloak,fruit,rice field,brains,tree,wood,",ラ,はだか,
ax,4,斤,",axe,",キン,,
chop,8,析,",chop,tree,wood,axe,",セキ,,
place,8,所,",place,door,one,ceiling,flag,axe,",ショ,ところ,
pray,8,祈,",pray,altar,axe,",キ,いの・る,
near,6,近,",near,axe,road,",キン,ちか・い,
fold,7,折,",fold,finger,fingers,axe,",セツ,お・る　　お・れる　　おり,
philosophy,10,哲,",philosophy,fold,finger,fingers,axe,mouth,",テツ,,
departed,9,逝,",departed,fold,finger,fingers,axe,road,",セイ,ゆ・く　　い・く,
vow,14,誓,",vow,fold,finger,fingers,axe,say,words,keitai,mouth,",セイ,ちか・う,
chop off,11,斬,",chop off,executioner,car,axe,",ザン,,
temporarily,15,暫,",temporarily,executioner,chop off,car,axe,sun,day,",ザン,き・る,
steadily,14,漸,",steadily,water,water droplets,water pistol,executioner,chop off,car,axe,",ゼン,,
severance,11,断,",severance,fishhook,rice,axe,",ダン,ことわ・る　　た・つ,
substance,15,質,",substance,axe,shellfish,clam,oyster,eye,animal legs,eight,axe2,",シツ　　シチ　　チr,,
reject,5,斥,",reject,axe,drop,",セキ,,
accusation,12,訴,",accusation,say,words,keitai,mouth,reject,axe,drop,",ソ,うった・える,
yesterday,9,昨,",yesterday,sun,day,saw,",サク,,
lie,12,詐,",lie,say,words,keitai,mouth,saw,",サ,,
make,7,作,",make,person,saw,",サク　　サ,つく・る,
snow,11,雪,",snow,rain,weather,broom,",セツ,ゆき,
record,16,録,",record,metal,gold,dustpan,broom,grains of rice,",ロク,,
peel off,10,剥,",peel off,dustpan,broom,grains of rice,sword,sabre,saber,",ハク,は・がす　　は・ぐ　　は・げる　　は・がれる,
inquire,12,尋,",inquire,broom,craft,mouth,glue,",ジン,たず・ねる,
hurry,9,急,",hurry,bound up,broom,heart,",キュウ,いそ・ぐ,
calm,16,穏,",calm,wheat,cereal,hideaway,claw,vulture,broom,heart,",オン,おだ・やか,
encroach,9,侵,",encroach,person,French maid,tickle,broom,crown,crotch,",シン,おか・す,
immersed,10,浸,",immersed,water,water droplets,water pistol,French maid,tickle,broom,crown,crotch,",シン,ひた・す　　ひた・る,
lie down,13,寝,",lie down,house,turtle,French maid,tickle,broom,crown,crotch,",シン,ね・る　　ね・かす,
lady,11,婦,",lady,woman,feather duster,broom,apron,crown,towel,",フ,,
sweep,11,掃,",sweep,finger,fingers,feather duster,broom,apron,crown,towel,",ソウ,は・く,
hit,6,当,",hit,small,broom,",トウ,あ・たる　　あ・てる,
glossary,13,彙,",glossary,broken broom,mutual,crown,fruit,rice field,brains,tree,wood,broom*,",イ,,
contend,6,争,",contend,bound up,rake,",ソウ,あらそ・う,
clean,9,浄,",clean,water,water droplets,water pistol,contend,bound up,rake,",ジョウ,,
matter,8,事,",matter,one,ceiling,mouth,rake,",ジ　　ズr,こと,
T'ang,10,唐,",T’ang,cave,rake,mouth,",トウ,から,
sugar,16,糖,",sugar,rice,T’ang,cave,rake,mouth,",トウ,,
sane,11,康,",ease,sane,cave,sieve,rake,grains of rice,",コウ,,
apprehend,10,逮,",apprehend,sieve,rake,grains of rice,road,",タイ,,
Italy,6,伊,",italy,person,mop,",イ,,
old boy,7,君,",old boy,mop,mouth,",クン,きみ,
flock,13,群,",flock,old boy,mop,mouth,sheep,",グン,む・れ　　む・れる　　むらr,
-proof,9,耐,",proof,comb,glue,",タイ,た・える,
demand,14,需,",demand,rain,weather,comb,",ジュ,,
Confucian,16,儒,",confucian,person,demand,rain,weather,comb,",ジュ,,
edge,14,端,",edge,vase,stand up,pick-axe,mountain,comb,",タン,はし　　は　　はた,
both,6,両,",both,street,nail,spike,belt,shovel,",リョウ,,
full,12,満,",full,water,water droplets,water pistol,flowers,both,street,nail,spike,belt,shovel,",マン,み・たす　　み・ちる,
brush-stroke,nodata,画,nodata,ガ　　カク,,
tooth,12,歯,",tooth,stop,footprint,bag of rice,shovel,",シ,は,
bend,6,曲,",bend,rice field,brains,stick,",キョク,ま・げる　　ま・がる,
cadet,11,曹,",cadet,one,bend,sun,day,",ソウ,,
encounter,13,遭,",encounter,cadet,one,bend,sun,day,road,",ソウ,あ・う,
rowing,14,漕,",rowing,water,water droplets,water pistol,cadet,one,bend,sun,day,",ソウ,こ・ぐ,
vat,15,槽,",vat,tree,wood,cadet,one,bend,sun,day,",ソウ,,
Big Dipper,4,斗,",big dipper,measuring cup,big dipper,The Plough,drop,ten,needle,",ト,,
fee,10,料,",fee,rice,measuring cup,big dipper,The Plough,drop,ten,needle,",リョウ,,
department,9,科,",department,wheat,cereal,measuring cup,big dipper,The Plough,drop,ten,needle,",カ,,
map,7,図,",map,pent in,measuring cup,big dipper,The Plough,drop,ten,needle,",ズ　　ト,はか・る,
utilise,5,用,",utilise,moon,month,flesh,part of the body,walking stick,",ヨウ,もち・いる,
comfortable,11,庸,",commonplace,comfortable,cave,rake,screwdriver,utilise,utilise,moon,month,flesh,part of the body,walking stick,",ヨウ,,
equip,12,備,",equip,person,flowers,cliff,screwdriver,utilise,utilise,moon,month,flesh,part of the body,walking stick,",ビ,そな・える　　さな・わる,
once upon a time,8,昔,",once upon a time,salad,flowers,one,floor,sun,day,",セキ　　シャクr,むかし,
confused,16,錯,",confused,metal,gold,once upon a time,storyteller,salad,sun,day,",サク,,
borrow,10,借,",borrow,person,once upon a time,storyteller,salad,sun,day,",シャク,か・りる,
pity,11,惜,",pity,Freud,state of mind,once upon a time,storyteller,salad,sun,day,",セキ,お・しむ　　お・しい,
set aside,11,措,",set aside,finger,fingers,once upon a time,storyteller,salad,sun,day,",ソ,,
scatter,12,散,",scatter,salad,moon,month,flesh,part of the body,taskmaster,",サン,ち・る　　ち・らす　　ち・らかす　　ち・らかる,
twenty,4,廿,",twenty,",,にじゅう,
commoner,11,庶,",commoner,caverns,cave,twenty,oven-fire,barbecue,",ショ,,
intercept,13,遮,",intercept,commoner,caverns,cave,twenty,oven-fire,barbecue,road,",シャ,さえぎ・る,
seat,10,席,",seat,caverns,cave,twenty,towel,",セキ,,
degrees,9,度,",degrees,caverns,cave,twenty,crotch,",ド　　ト　　タクr,たび,
transit,12,渡,",transit,water,water droplets,water pistol,degrees,caverns,cave,twenty,crotch,",ト,わた・す　　わた・る,
bustle,8,奔,",bustle,large,St. Bernard,haystack,ten,needle,needle3,ten3,",ホン,,
erupt,15,噴,",erupt,mouth,pitchfork,haystack,ten,needle,shellfish,clam,oyster,eye,animal legs,eight,needle3,ten3,",フン,ふ・く,
tomb,15,墳,",tomb,soil,dirt,ground,pitchfork,haystack,ten,needle,shellfish,clam,oyster,eye,animal legs,eight,needle3,ten3,",フン,,
aroused,15,憤,",aroused,Freud,state of mind,pitchfork,haystack,ten,needle,shellfish,clam,oyster,eye,animal legs,eight,needle3,ten3,",フン,いきどお・る,
bake,12,焼,",bake,hearth fire,lofty,strawman,wickerman,haystack,ten,needle,one,human legs,needle3,ten3,",ショウ,や・く　　や・ける,
daybreak,12,暁,",daybreak,sun,lofty,strawman,wickerman,haystack,ten,needle,one,human legs,needle3,ten3,",ギョウ,あかつき,
half,5,半,",half,small,ten,needle,",ハン,なか・ば,
consort,7,伴,",consort,person,half,",ハン　　バン,ともな・う,
paddy ridge,10,畔,",paddy-ridge,rice field,brains,half,",ハン,,
judgment,7,判,",judgement,half,sword,sabre,saber,",ハン　　バン,,
fist,10,拳,",fist,quarter,hand,",ケン,こぶし,
ticket,8,券,",ticket,quarter,sword,dagger,",ケン,,
scroll,9,巻,",scroll,quarter,snake,self,",カン,まき　　ま・く,
sphere,12,圏,",sphere,pent in,scroll,quarter,snake,self,",ケン,,
victory,12,勝,",victory,edam,moon,month,flesh,part of the body,quarter,power,muscle,arnold,",ショウ,か・つ　　まさ・る,
wisteria,18,藤,",wisteria,flowers,edam,moon,month,flesh,part of the body,quarter,grains of rice,",トウ,ふじ,
facsimilie,17,謄,",mimeograph,facsimile,edam,moon,month,flesh,part of the body,quarter,say,words,keitai,mouth,",トウ,,
one-sided,4,片,",one-sided,waiter with wine on tray,",ヘン,かた,
printing block,8,版,",printing block,one-sided,waiter with wine on tray,anti-,demonstration,cliff,crotch,",ハン,,
of,3,之,",of,Zorro,building blocks,zig-zag,",,の,
destitution,3,乏,",destitution,drop,of,Zorro,building blocks,zig-zag,",ボウ,とぼ・しい,
turf,6,芝,",turf,flowers,of,Zorro,building blocks,zig-zag,",,しば,
negative,4,不,",negative,one,ceiling,person,drop,",フ　　ブ,,
negate,7,否,",negate,negative,mouth,",ヒ,いな,
cupfuls,8,杯,",cupfuls,tree,wood,negative,",ハイ,さかずき,
dart,5,矢,",dart,drop,heavens,",シ,や,
rectify,17,矯,",rectify,dart,drop,heavens,angel,heavens,mouth,hood,mouth,mouth2,",キョウ,た・める,
tribe,11,族,",tribe,banner,direction,compass,direction,reclining,lying down,dart,drop,heavens,",ゾク,,
know,8,知,",know,dart,drop,heavens,mouth,",チ,し・る,
wisdom,12,智,",wisdom,know,dart,drop,heavens,mouth,sun,day,tongue wagging,",チ,,
shove,10,挨,",shove,finger,fingers,elbow,dart,drop,heavens,",アイ,,
halberd,5,矛,",halberd,beforehand,",ム,ほこ,
tender,9,柔,",tender,halberd,beforehand,tree,wood,",ジュウ　　ニュウ,やわ・らか　　やわ・らかい,
task,11,務,",task,halberd,beforehand,taskmaster,power,muscle,arnold,",ム,つと・める　　つと・まる ,
fog,19,霧,",fog,rain,weather,task,halberd,beforehand,taskmaster,power,muscle,arnold,",ム,きり,
squad,10,班,",squad,sword,spear,cutlass,king,jewel,ball,king2,jewel2,ball2,",ハン,,
homecoming,10,帰,",homecoming,sword,spear,cutlass,feather duster,broom,apron,crown,towel,",キ,かえ・る　　かえ・す,
bow,3,弓,",bow,",キュウ,ゆみ,
pull,4,引,",pull,bow,stick,",イン,ひ・く　　ひ・ける,
condolences,4,弔,",condolences,bow,walking stick,",チョウ,とむら・う,
vast,5,弘,",vast,bow,elbow,",コウ,ひろ,
strong,11,強,",strong,bow,elbow,insect,",キョウ　　ゴウ,つよ・い　　つよ・まる　　つよ・める　　し・いる,
more and more,8,弥,",more and more,bow,hammock,reclining,lying down,small,little,",,や,
weak,10,弱,",weak,bow,ice,bow2,ice2,",ジャク,よわ・い　　よわ・まる　　よわ・める　　よわ・る,
drowning,13,溺,",drowning,water,water droplets,water pistol,weak,bow,ice,bow2,ice2,",デキ,おぼ・れる,
seethe,8,沸,",seethe,water,water droplets,water pistol,dollar,bow,stick,stick2,",フツ,わ・く　　わ・かす,
expense,12,費,",expense,dollar,bow,stick,shellfish,clam,oyster,eye,animal legs,eight,stick2,",ヒ,つい・やす　　つい・える,
No.,11,第,",no.,bamboo,dollar,bow,stick,",ダイ,,
younger brother,7,弟,",younger brother,horns,dollar,bow,stick,",テイ　　ダイ　　デr,おとうと,
adroit,5,巧,",adroit,craft,snare,",コウ,たく・み,
nickname,5,号,",nickname,mouth,snare,",ゴウ,,
decay,6,朽,",decay,tree,wood,snare,",キュウ,く・ちる,
boast,13,誇,",boast,say,words,keitai,mouth,Batman,large,St. Bernard,chandelier,one,ceiling,snare,",コ,ほこ・る,
chin,18,顎,",chin,mousetrap,mouth,one,ceiling,snare,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,mouth2,one2,",ガク,あご,
dirty,6,汚,",dirty,water,water droplets,water pistol,snare,one,spike,stick,",オ,きたな・い　　けが・す　　けが・らわしい　　けが・れる　　よご・す　　よご・れる,
bestow,3,与,",bestow,slingshot,catapult,one,",ヨ,あた・える,
copy,5,写,",copy,crown,bestow,slingshot,catapult,one,",シャ,うつ・す　　うつ・る,
somebody,7,身,",somebody,nose,",シン,み,
shoot,10,射,",shoot,somebody,nose,glue,",シャ,い・る,
apologise,17,謝,",apologise,say,words,keitai,mouth,shoot bang bang,somebody,nose,glue,",シャ,あやま・る,
old man,6,老,",old man,old man,soil,dirt,ground,spoon,sitting on the ground,",ロウ,お・いる　　ふ・ける,
consider,6,考,",consider,old man,slingshot,catapult,",コウ,かんが・える,
filial piety,7,孝,",filial piety,old man,child,",コウ,,
teach,11,教,",teach,filial piety,old man,child,taskmaster,",キョウ,おし・える　　おそ・わる,
torture,9,拷,",torture,finger,fingers,consider,old man,slingshot,catapult,",ゴウ,,
someone,8,者,",someone,puppet,sooty,old man,sun,day,",シャ,もの,
boil,12,煮,",boil,someone,puppet,sooty,old man,sun,day,oven-fire,barbecue,",シャ,に・る　　に・える　　に・やす,
renowned,11,著,",renowned,flowers,someone,puppet,sooty,old man,sun,day,",チョ,いちじる・しい　　あらわ・す,
chopsticks,15,箸,",chopsticks,bamboo,someone,puppet,sooty,old man,sun,day,",,はし,
signature,13,署,",signature,eye,cross-eyed,net,someone,puppet,sooty,old man,sun,day,",ショ,,
sultry,12,暑,",sultry,sun,day,someone,puppet,sooty,old man,sun2,day2,",ショ,あつ・い,
various,15,諸,",various,say,words,keitai,mouth,someone,puppet,sooty,old man,sun,day,",ショ,,
boar,11,猪,",boar,pack of wild dogs,someone,puppet,sooty,old man,sun,day,",チョ,いのしし,
strand,11,渚,",strand,water,water droplets,water pistol,someone,puppet,sooty,old man,sun,day,",,なぎさ,
gamble,15,賭,",gamble,shellfish,clam,oyster,eye,animal legs,eight,someone,puppet,sooty,old man,sun,day,",ト,か・ける,
gorge,9,峡,",gorge,mountain,scissors,husband,horns,",キョウ,,
cramped,9,狭,",cramped,pack of wild dogs,scissors,husband,horns,",キョウ,せま・い　　せば・まる　　せば・める,
sandwiched,9,挟,",sandwiched,finger,fingers,scissors,husband,horns,",キョウ,はさ・まる　　はさ・む,
cheek,15,頬,",cheek,scissors,husband,horns,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,ほお,
chase,8,追,",chase,maestro,road,",ツイ,お・う,
large hill,8,阜,",large hill,maestro,ten,needle,",フr,,
expert,10,師,",expert,maestro,noren,one,ceiling,towel,",シ,,
commander,9,帥,",commander,maestro,towel,",スイ,,
bureaucrat,8,官,",bureaucrat,house,maestro without baton,",カン,,
coffin,12,棺,",coffin,tree,wood,bureaucrat,house,maestro without baton,",カン,,
pipe,14,管,",pipe,bamboo,bureaucrat,house,maestro without baton,",カン,くだ,
father,4,父,",father,",フ,ちち,
cauldron,10,釜,",cauldron,father,metal,gold,",,かま,
mingle,6,交,",mingle,top hat,father,",コウ,ま・ざる　　ま・ぜる　　ま・じる　　まじ・える　　まじ・わる　　か・う　　か・わす,
merit,8,効,",merit,mingle,top hat,father,power,muscle,arnold,",コウ,き・く,
contrast,13,較,",contrast,car,mingle,top hat,father,",カク,,
exam,10,校,",exam,tree,wood,mingle,top hat,father,",コウ,,
leg,7,足,",leg,mouth,mending,mend,",ソク,あし　　た・す　　た・りる　　た・る,
stimulate,9,促,",stimulate,person,leg,mouth,mending,mend,",ソク,うなが・す,
nab,10,捉,",nab,finger,fingers,leg,mouth,mend,",ソク,とら・える,
long-distance,12,距,",long-distance,wooden leg,mouth,stop,footprint,giant,",キョ,,
path,13,路,",path,wooden leg,mouth,stop,footprint,each,walking legs,mouth,mouth2,",ロ,じ,
dew,21,露,",dew,rain,weather,path,wooden leg,mouth,stop,footprint,each,walking legs,mouth,mouth2,",ロ　　ロウr,つゆ,
hop,13,跳,",hop,wooden leg,mouth,stop,footprint,portent,omen,",チョウ,は・ねる　　と・ぶ,
leap,21,躍,",leap,wooden leg,mouth,stop,footprint,futon,feathers,wings,turkey,",ヤク,おど・る,
tread,13,践,",tread,wooden leg,mouth,stop,footprint,parade float,",セン,,
step,15,踏,",step,wooden leg,mouth,stop,footprint,wednesday,boots,water,sun,day,",トウ,ふ・む　　ふ・まえる,
trail,nodata,踪,nodata,ソウ,,
skeleton,10,骨,",skeleton,joint,moon,month,flesh,part of the body,",コツ,ほね,
slippery,13,滑,",slippery,water,water droplets,water pistol,skeleton,joint,moon,month,flesh,part of the body,",カツ　　コツ ,すべ・る　　なめ・らか,
marrow,19,髄,",marrow,skeleton,joint,moon,month,flesh,part of the body,highwayman,possess,by one’s side,road,moon2,month2,flesh2,part of the body2,",ズイ,,
calamity,13,禍,",calamity,altar,jawbone,joint,hood,mouth,",カ,,
whirlpool,12,渦,",whirlpool,water,water droplets,water pistol,jawbone,joint,hood,mouth,",カ,うず,
pot,17,鍋,",pot,metal,gold,jawbone,joint,hood,mouth,",,なべ,
overdo,11,過,",overdo,jawbone,joint,hood,mouth,road,",カ,す・ぎる　　す・ごす　　あやま・ち　　あやま・つ,
Heights,7,阪,",heights,pinnacle,parthenon,acropolis,anti-,demonstration,cliff,crotch,",ハン,,
Africa,8,阿,",africa,pinnacle,parthenon,acropolis,can,mouth,street,nail,spike,",ア,,
occasion,14,際,",occasion,pinnacle,parthenon,acropolis,ritual,moon,month,flesh,part of the body,crotch,altar,show,two,small,",サイ,きわ,
hinder,14,障,",hinder,pinnacle,parthenon,acropolis,badge,vase,stand up,sunflower,early,sun,day,ten,needle,",ショウ,さわ・る,
chink,13,隙,",chink,pinnacle,parthenon,acropolis,small,little,sun,day,small2,little,2,",ゲキ,すき,
follow,12,随,",follow,pinnacle,parthenon,acropolis,highwayman,possess,by one’s side,moon,month,flesh,part of the body,road,",ズイ,,
auxiliary,11,陪,",obeisance,auxiliary,pinnacle,parthenon,acropolis,muzzle,vase,stand up,mouth,",バイ,,
sunshine,12,陽,",sunshine,pinnacle,parthenon,acropolis,piggy bank,sun,day,piglets,",ヨウ,,
line up,11,陳,",exhibit,line up,pinnacle,parthenon,acropolis,east,tree,wood,sun,day,",チン,,
ward off,7,防,",ward off,pinnacle,parthenon,acropolis,compass,direction,",ボウ,ふせ・ぐ,
affixed,8,附,",affixed,pinnacle,parthenon,acropolis,adhere,sellotape,person,glue,",フ,,
Inst.,10,院,",Inst.,pinnacle,parthenon,acropolis,perfect,house,beginnings,two,human legs,",イン,,
camp,10,陣,",camp,pinnacle,parthenon,acropolis,car,",ジン,,
regiment,12,隊,",regiment,pinnacle,parthenon,acropolis,animal horns,sow,pig,wart hog,regimental mascot,",タイ,,
crash,14,墜,",crash,regiment,pinnacle,parthenon,acropolis,animal horns,sow,pig,wart hog,regimental mascot,soil,dirt,ground,",ツイ,,
descend,10,降,",descend,pinnacle,parthenon,acropolis,walking legs,sunglasses with one lens missing,monocle,",コウ,ふ・る　　お・りる　　お・ろす,
story,12,階,",storey,pinnacle,parthenon,acropolis,all,compare,spoon,sitting on the ground,white,dove,spoon2,sitting on the ground2,",カイ,,
highness,10,陛,",highness,pinnacle,parthenon,acropolis,compare,spoon,sitting on the ground,soil,dirt,ground,spoon2,sitting on the ground2,",ヘイ,,
neighboring,16,隣,",neighbouring,pinnacle,parthenon,acropolis,shoeshine,rice,sunglasses,dancing legs,ballerina,evening,",リン,となり　　とな・る,
isolate,13,隔,",isolate,pinnacle,parthenon,acropolis,tripod,one,ceiling,mouth,hood,human legs,street,nail,spike,",カク,へだ・たる　　へだ・てる,
conceal,14,隠,",conceal,pinnacle,parthenon,acropolis,hideaway,claw,vulture,broom,heart,",イン,かく・す　　かく・れる,
degenerate,11,堕,",degenerate,pinnacle,parthenon,acropolis,possess,by one’s side,moon,month,flesh,part of the body,ground,soil,dirt,ground,",ダ,,
collapse,10,陥,",collapse,pinnacle,parthenon,acropolis,straight-jacket,bound up,olden times,old days,stick,sun,day,",カン,おちい・る　　おとしい・れる,
hole,5,穴,",hole,house,eight,",ケツ,あな,
empty,8,空,",empty,hole,house,human legs,craft,",クウ,そら　　から　　あ・く　　あ・ける,
withdraw,11,控,",withdraw,finger,fingers,empty,sky,hole,house,human legs,craft,",コウ,ひか・える,
stab,8,突,",stab,hole,house,human legs,large,St. Bernard,",トツ,つ・く,
research,7,究,",research,hole,house,human legs,nine,baseball,",キュウ,きわ・める,
plug up,11,窒,",plug up,hole,house,human legs,climax,wall,one,ceiling,elbow,soil,dirt,ground,",チツ,,
stealth,9,窃,",stealth,hole,house,human legs,cut,seven,sword,dagger,",セツ,,
cavern,13,窟,",cavern,hole,house,human legs,yield,flag,exit,",クツ,,
depression,14,窪,",depression,hole,house,human legs,water,water droplets,water pistol,ivy,square jewel,soil,dirt,ground,soil2,dirt2,ground2,",,くぼ,
squeeze,13,搾,",squeeze,finger,fingers,tight,hole,house,human legs,saw,",サク,しぼ・る,
kiln,15,窯,",kiln,hole,house,human legs,sheep,oven-fire,barbecue,",ヨウ,かま,
hard up,15,窮,",hard up,hole,house,human legs,somebody,nose,bow,",キュウ,きわ・める　　きわ・まる,
grope,11,探,",grope,finger,fingers,paper punch,Miss World,hole,house,human legs,tree,wood,",タン,さが・す　　さぐ・る,
deep,11,深,",deep,water,water droplets,water pistol,paper punch,Miss World,hole,house,human legs,tree,wood,",シン,ふか・い　　ふか・まる　　ふか・める,
hill,5,丘,",hill,axe,one,floor,",キュウ,おか,
Point,8,岳,",point,hill,axe,one,floor,mountain,",ガク,たけ,
soldier,7,兵,",soldier,hill,axe,one,floor,animal legs,eight,",ヘイ　　ヒョウ,,
seacoast,10,浜,",seacoast,water,water droplets,water pistol,soldier,hill,axe,one,floor,animal legs,eight,",ヒン,はま,
thread,6,糸,",thread,spiderman,",シ,いと,
weave,18,織,",weave,thread,spiderman,kazoo,sound,vase,stand up,sun,day,fiesta,",ショク　　シキ,お・る,
darning,18,繕,",darning,thread,spiderman,virtuous,sheep,horns,mouth,",ゼン,つくろ・う,
shrink,17,縮,",shrink,thread,spiderman,inn,house,person,hundred,one,ceiling,white,dove,",シュク,ちぢ・まる　　ちぢ・む　　ちぢ・める　　ちぢ・らす　　ちぢ・れる,
luxuriant,16,繁,",luxuriant,cleverness,reclining,lying down,mother,breasts,taskmaster,thread,spiderman,",ハン,,
vertical,16,縦,",vertical,thread,spiderman,accompany,Nelson,column,going,line,horns,mend,",ジュウ,たて,
fine,nodata,緻,nodata,チ,,
line,15,線,",line,thread,spiderman,spring,white,dove,water,",セン,,
come apart at the seams,14,綻,",come apart at the seams,thread,spiderman,determine,determined,house,mend,",タン,ほころ・びる,
tighten,15,締,",tighten,thread,spiderman,sovereign,vase,stand up,apron,crown,towel,",テイ,し・まる　　し・める,
fiber,14,維,",fiber,thread,spiderman,turkey,",イ,,
gauze,19,羅,",gauze,eye,cross-eyed,net,fibre,thread,spiderman,turkey,",ラ,,
practice,14,練,",practice,thread,spiderman,east,tree,wood,sun,day,",レン,ね・る,
thong,14,緒,",thong,thread,spiderman,someone,puppet,sooty,old man,sun,day,",ショ　　チョr,お,
continue,13,続,",continue,thread,spiderman,sell,samurai,crown,human legs,",ゾク,つづ・く　　つづ・ける,
picture,12,絵,",picture,thread,spiderman,meeting,one,wall,umbrella,rising cloud,two,elbow,wall,",カイ　　エ,,
overall,12,統,",overall,thread,spiderman,allot,infant,toddler,top hat,elbow,human legs,",トウ,す・べる,
strangle,12,絞,",strangle,thread,spiderman,mingle,top hat,father,",コウ,し・まる　　し・める　　しぼ・る,
salary,12,給,",salary,thread,spiderman,fit,meeting,umbrella,one,mouth,",キュウ,,
entwine,12,絡,",entwine,thread,spiderman,each,walking legs,mouth,",ラク,から・まる　　から・む　　から・める ,
